frame,input,x,y,x_speed,y_speed,g_speed,angle,air,rolling,ground_mode,x_sub,y_sub,routine,camera_x,camera_y,rings,status_byte,v_framecount,stand_on_obj
0000,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0001,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0002,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0003,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0004,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0005,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0006,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0007,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0008,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0009,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000A,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000B,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000C,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000D,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000E,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
000F,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0010,0000,0030,03BD,0000,0000,0000,00,0,0,0,0000,0000,02,0000,035D,0000,00,0000,00
0011,0008,0030,03BD,000C,0000,000C,00,0,0,0,0C00,0000,02,0000,035D,0000,00,0000,00
0012,0008,0030,03BD,0018,0000,0018,00,0,0,0,2400,0000,02,0000,035D,0000,00,0000,00
0013,0008,0030,03BD,0024,0000,0024,00,0,0,0,4800,0000,02,0000,035D,0000,00,0000,00
0014,0008,0030,03BD,0030,0000,0030,00,0,0,0,7800,0000,02,0000,035D,0000,00,0000,00
0015,0008,0030,03BD,003C,0000,003C,00,0,0,0,B400,0000,02,0000,035D,0000,00,0000,00
0016,0008,0030,03BD,0048,0000,0048,00,0,0,0,FC00,0000,02,0000,035D,0000,00,0000,00
0017,0008,0031,03BD,0054,0000,0054,00,0,0,0,5000,0000,02,0000,035D,0000,00,0000,00
0018,0008,0031,03BD,0060,0000,0060,00,0,0,0,B000,0000,02,0000,035D,0000,00,0000,00
0019,0008,0032,03BD,006C,0000,006C,00,0,0,0,1C00,0000,02,0000,035D,0000,00,0000,00
001A,0008,0032,03BD,0078,0000,0078,00,0,0,0,9400,0000,02,0000,035D,0000,00,0000,00
001B,0008,0033,03BD,0084,0000,0084,00,0,0,0,1800,0000,02,0000,035D,0000,00,0000,00
001C,0008,0033,03BD,0090,0000,0090,00,0,0,0,A800,0000,02,0000,035D,0000,00,0000,00
001D,0008,0034,03BD,009C,0000,009C,00,0,0,0,4400,0000,02,0000,035D,0000,00,0000,00
001E,0008,0034,03BD,00A8,0000,00A8,00,0,0,0,EC00,0000,02,0000,035D,0000,00,0000,00
001F,0008,0035,03BD,00B4,0000,00B4,00,0,0,0,A000,0000,02,0000,035D,0000,00,0000,00
0020,0008,0036,03BD,00C0,0000,00C0,00,0,0,0,6000,0000,02,0000,035D,0000,00,0000,00
0021,0008,0037,03BD,00CC,0000,00CC,00,0,0,0,2C00,0000,02,0000,035D,0000,00,0000,00
0022,0008,0038,03BD,00D8,0000,00D8,00,0,0,0,0400,0000,02,0000,035D,0000,00,0000,00
0023,0008,0038,03BD,00E4,0000,00E4,00,0,0,0,E800,0000,02,0000,035D,0000,00,0000,00
0024,0008,0039,03BD,00F0,0000,00F0,00,0,0,0,D800,0000,02,0000,035D,0000,00,0000,00
0025,0008,003A,03BD,00FC,0000,00FC,00,0,0,0,D400,0000,02,0000,035D,0000,00,0000,00
0026,0008,003B,03BD,0108,0000,0108,00,0,0,0,DC00,0000,02,0000,035D,0000,00,0000,00
0027,0008,003C,03BD,0114,0000,0114,00,0,0,0,F000,0000,02,0000,035D,0000,00,0000,00
0028,0008,003E,03BD,0120,0000,0120,00,0,0,0,1000,0000,02,0000,035D,0000,00,0000,00
0029,0008,003F,03BD,012C,0000,012C,00,0,0,0,3C00,0000,02,0000,035D,0000,00,0000,00
002A,0008,0040,03BD,0138,0000,0138,00,0,0,0,7400,0000,02,0000,035D,0000,00,0000,00
002B,0008,0041,03BD,0144,0000,0144,00,0,0,0,B800,0000,02,0000,035D,0000,00,0000,00
002C,0008,0043,03BD,0150,0000,0150,00,0,0,0,0800,0000,02,0000,035D,0000,00,0000,00
002D,0008,0044,03BD,015C,0000,015C,00,0,0,0,6400,0000,02,0000,035D,0000,00,0000,00
002E,0008,0045,03BD,0168,0000,0168,00,0,0,0,CC00,0000,02,0000,035D,0000,00,0000,00
002F,0008,0047,03BD,0174,0000,0174,00,0,0,0,4000,0000,02,0000,035D,0000,00,0000,00
0030,0008,0048,03BD,0180,0000,0180,00,0,0,0,C000,0000,02,0000,035D,0000,00,0000,00
0031,0008,004A,03BD,018C,0000,018C,00,0,0,0,4C00,0000,02,0000,035D,0000,00,0000,00
