frame,input,x,y,x_speed,y_speed,g_speed,angle,air,rolling,ground_mode,x_sub,y_sub,routine,camera_x,camera_y,rings,status_byte,v_framecount,stand_on_obj
0000,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0001,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0002,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0003,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0004,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0005,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0006,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0007,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0008,0000,0030,0266,0000,0000,0000,F8,0,0,0,0000,0000,02,0000,01D0,0000,00,0000,00
0009,0008,0030,0266,000B,FFFD,000C,F8,0,0,0,0B00,FD00,02,0000,01D0,0000,00,0000,00
000A,0008,0030,0266,0010,FFFC,0011,F8,0,0,0,1B00,F900,02,0000,01D0,0000,00,0000,00
000B,0008,0030,0266,0015,FFFB,0016,F8,0,0,0,3000,F400,02,0000,01D0,0000,00,0000,00
000C,0008,0030,0266,001A,FFFA,001B,F8,0,0,0,4A00,EE00,02,0000,01D0,0000,00,0000,00
000D,0008,0030,0266,001F,FFF9,0020,F8,0,0,0,6900,E700,02,0000,01D0,0000,00,0000,00
000E,0008,0030,0266,0024,FFF8,0025,F8,0,0,0,8D00,DF00,02,0000,01D0,0000,00,0000,00
000F,0008,0030,0266,0029,FFF7,002A,F8,0,0,0,B600,D600,02,0000,01D0,0000,00,0000,00
0010,0008,0030,0266,002E,FFF7,002F,F8,0,0,0,E400,CD00,02,0000,01D0,0000,00,0000,00
