frame,input,x,y,x_speed,y_speed,g_speed,angle,air,rolling,ground_mode,x_sub,y_sub,routine,camera_x,camera_y,rings,status_byte,v_framecount,stand_on_obj
0000,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0001,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0002,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0003,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0004,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0005,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0006,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0007,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0008,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0009,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000A,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000B,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000C,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000D,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000E,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
000F,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0010,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0011,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0012,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0013,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0014,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0015,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0016,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0017,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0018,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0019,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001A,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001B,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001C,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001D,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001E,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
001F,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0020,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
0021,0000,0050,03B0,0000,0000,0000,FC,0,0,0,0000,0000,02,0000,0300,0000,00,0000,00
